id,facilityId,programId,processingPeriodId,status,emergency,numberOfMonthsInPeriod,templateId
769158cf-6b07-4cac-b0f0-b6ad19f88555,bb6ea4ca-63d3-4702-8312-10e182dad542,10845cb9-d365-4aaa-badd-b4fa39c6a26a,ecd6c3c8-f80c-4c4e-af9a-d0529b55424a,INITIATED,false,5,4b30f6c9-b84b-4f17-8173-852101a5ea29
a345725e-1fe9-4392-8245-320b69256cba,9c1e9625-af06-4fb7-8ccd-2cf750b22cb7,dce17f2e-af3e-40ad-8e00-3496adef44c3,1f3c89b2-13e4-4a72-9ef2-228302cc5a25,INITIATED,true,2,5a268780-fafd-4243-9551-5c7daa824913
7f536251-f84a-42f0-af80-3d9239500132,b6afd8ac-08e3-4b54-896f-9fc0c694848f,dce17f2e-af3e-40ad-8e00-3496adef44c3,7880be4f-6582-472a-9ea5-a6baed71e6e5,SKIPPED,false,3,5a268780-fafd-4243-9551-5c7daa824913
9809558e-2ee0-4949-9381-89be670c917f,9050fd77-390a-4513-8dc8-23f1039be7cd,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a91dfbdf-0d9b-4cb1-9d46-0a47b17d22d0,IN_APPROVAL,true,8,4b30f6c9-b84b-4f17-8173-852101a5ea29
5a877dd4-84fe-431d-bf01-d12e5a1804c7,f54803e8-6af9-45d7-8baa-b6e47aa59545,10845cb9-d365-4aaa-badd-b4fa39c6a26a,a4eefb4e-2bb6-4793-9f70-2cc5365de7c6,REJECTED,true,5,4b30f6c9-b84b-4f17-8173-852101a5ea29
107b9bbe-c377-4a4e-8e54-a93eda59d9bd,20804f40-b9e4-4bee-bcb7-e0efac213507,dce17f2e-af3e-40ad-8e00-3496adef44c3,96da0fc3-28fd-4a3f-87a8-b5cdb175c45a,IN_APPROVAL,false,6,5a268780-fafd-4243-9551-5c7daa824913
cc892a44-acb4-4e3e-a6b2-ee355f18ea34,c0c7062a-3754-49d2-9ccb-6def2180949a,dce17f2e-af3e-40ad-8e00-3496adef44c3,96da0fc3-28fd-4a3f-87a8-b5cdb175c45a,SKIPPED,true,4,5a268780-fafd-4243-9551-5c7daa824913
7c462c4e-79b7-43aa-83f7-d5fdfff8621b,c4d83cae-d2e9-4160-8769-7850b05be225,dce17f2e-af3e-40ad-8e00-3496adef44c3,f55d9dda-d440-40c0-a793-914e0fe1f579,INITIATED,true,9,5a268780-fafd-4243-9551-5c7daa824913
0c447728-a07d-46c6-b366-8635f2e7bdc6,33e50a6b-8c9a-41a5-af39-1874bf930c60,10845cb9-d365-4aaa-badd-b4fa39c6a26a,f419bcd8-ac7a-4b75-8c84-c065ef437938,AUTHORIZED,true,7,4b30f6c9-b84b-4f17-8173-852101a5ea29
34e4b3fe-d424-4da3-b704-91f816e2a6aa,0257cb9a-db9c-45f5-969f-aac2101b3eed,dce17f2e-af3e-40ad-8e00-3496adef44c3,c08e1295-793f-4550-933b-571e117f15d9,INITIATED,false,4,5a268780-fafd-4243-9551-5c7daa824913
b8032ea3-e631-4486-99a6-7b615d94e296,d4484c59-fac9-4589-a0d0-4cb77f645256,10845cb9-d365-4aaa-badd-b4fa39c6a26a,f419bcd8-ac7a-4b75-8c84-c065ef437938,SKIPPED,false,3,4b30f6c9-b84b-4f17-8173-852101a5ea29
